Time Done Counter ack_out a_out_h a_out_l
828885 0 198 0 9782859 71544067
828887 0 200 1 0 0
829293 0 200 0 9782859 74558724
829295 0 202 1 0 0
838465 0 202 0 9783331 304295015
838467 0 204 1 0 0
884583 0 204 0 9791520 2560855241
884585 0 206 1 0 0
885763 0 206 0 9791521 3634436387
885765 0 208 1 0 0
887815 0 208 0 9791536 2560761123
887817 0 210 1 0 0
889637 0 210 0 9791539 304225603
889639 0 212 1 0 0
890881 0 212 0 9791568 3432067300
890883 0 214 1 0 0
893635 0 214 0 9791584 2289372454
893637 0 216 1 0 0
901063 0 216 0 9791771 141887688
901065 0 218 1 0 0
904693 0 218 0 9791800 2294620355
904695 0 220 1 0 0
914823 0 220 0 9798233 3366036680
914825 0 222 1 0 0
918643 0 222 0 9799256 2291245383
918645 0 224 1 0 0
923807 0 224 0 9799730 3332608073
923809 0 226 1 0 0
924939 0 226 0 9799768 3432059114
924941 0 228 1 0 0
925091 0 228 0 9799768 3433107751
925093 0 230 1 0 0
926205 0 230 0 9799769 3332444361
926207 0 232 1 0 0
944449 0 232 0 9800249 372512841
944451 0 234 1 0 0
948973 0 234 0 9979219 313662568
948975 0 236 1 0 0
950657 0 236 0 9979226 1487019112
950659 0 238 1 0 0
954143 0 238 0 9979731 177573124
954145 0 240 1 0 0
962745 0 240 0 9980219 338865412
962747 0 242 1 0 0
967479 0 242 0 9980258 145855722
967481 0 244 1 0 0
970205 0 244 0 9980480 3633681636
970207 0 246 1 0 0
982011 0 246 0 9980994 3392475369
982013 0 248 1 0 0
998397 0 248 0 9996115 304254219
998399 0 250 1 0 0
1000081 0 250 0 9996120 3634631970
1000083 0 252 1 0 0
1004719 0 252 0 9996633 1151736936
1004721 0 254 1 0 0
1014127 0 254 0 9996866 3329306793
1014129 0 256 1 0 0
1019951 0 256 0 9997115 340862056
1019953 0 258 1 0 0
1021937 0 258 0 9997121 1486986530
1021939 0 260 1 0 0
1034525 0 260 0 10027618 1180012871
1034527 0 262 1 0 0
1036901 0 262 0 10027835 337816704
1036903 0 262 1 0 0
1037181 0 262 0 10027835 337816868
1037183 0 264 1 0 0
1038431 0 264 0 10027865 3299217701
1038433 0 266 1 0 0
1039121 0 266 0 10027865 3559043209
1039123 0 268 1 0 0
1041103 0 268 0 10027866 1252138370
1041105 0 270 1 0 0
1042459 0 270 0 10027873 3534915722
1042461 0 272 1 0 0
1043889 0 272 0 10027874 1146458346
1043891 0 274 1 0 0
1049305 0 274 0 10028377 342995017
1049307 0 276 1 0 0
1050371 0 276 0 10028386 1185124427
1050373 0 278 1 0 0
1052851 0 278 0 10029602 1180010887
1052853 0 280 1 0 0
1053231 0 280 0 10029602 1243975047
1053233 0 282 1 0 0
1053685 0 282 0 10029625 76942507
1053687 0 284 1 0 0
1054369 0 284 0 10029664 3391464676
1054371 0 286 1 0 0
1055717 0 286 0 10029665 72721635
1055719 0 288 1 0 0
1056165 0 288 0 10029665 74812585
1056167 0 290 1 0 0
1057079 0 290 0 10029665 3292898467
1057081 0 292 1 0 0
1058069 0 292 0 10029666 1146203364
1058071 0 294 1 0 0
1059217 0 294 0 10029666 1243974884
1059219 0 296 1 0 0
1059467 0 296 0 10029841 3332772133
1059469 0 298 1 0 0
1061243 0 298 0 10029857 3332770085
1061245 0 300 1 0 0
1063837 0 300 0 10029859 337808679
1063839 0 302 1 0 0
1064663 0 302 0 10029880 3559040388
1064665 0 304 1 0 0
1065697 0 304 0 10029883 76713284
1065699 0 306 1 0 0
1066319 0 306 0 10029883 337808676
1066321 0 308 1 0 0
1068261 0 308 0 10030113 3559232617
1068263 0 310 1 0 0
1073081 0 310 0 10035746 3500543143
1073083 0 312 1 0 0
1076053 0 312 0 10035793 3367252128
1076055 0 312 1 0 0
1081197 0 312 0 10036034 3366163842
1081199 0 314 1 0 0
1090991 0 314 0 10036545 406166850
