=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.10.20 18:57:10 =~=~=~=~=~=~=~=~=~=~=~=
Time Done Counter ack_out a_out_2 a_out_1 a_out_0
806735 0 176 1 0 0 0
814833 0 176 0 0 296061458 3427180711
814835 0 178 1 0 0 0
816145 0 178 0 0 296061473 2518922501
816147 0 180 1 0 0 0
818539 0 180 0 0 296061482 3292771590
818541 0 182 1 0 0 0
859611 0 182 0 0 296241451 1449532552
859613 0 184 1 0 0 0
882529 0 184 0 0 296274267 1210324204
882531 0 186 1 0 0 0
882965 0 186 0 0 296274267 1220809954
882967 0 188 1 0 0 0
885509 0 188 0 0 296274273 444667115
885511 0 190 1 0 0 0
888441 0 190 0 0 296274707 248652968
888443 0 192 1 0 0 0
889629 0 192 0 0 296274731 148087880
889631 0 194 1 0 0 0
897947 0 194 0 0 296275273 411112683
897949 0 196 1 0 0 0
898745 0 196 0 0 296275275 136549736
898747 0 198 1 0 0 0
915441 0 198 0 0 296282400 2595430572
915443 0 200 1 0 0 0
919761 0 200 0 0 296282897 1484928294
919763 0 202 1 0 0 0
936485 0 202 0 0 296289299 1450580261
936487 0 204 1 0 0 0
944555 0 204 0 0 296291089 214217895
944557 0 206 1 0 0 0
946139 0 206 0 0 296291107 237410597
946141 0 208 1 0 0 0
958057 0 208 0 0 296291672 2388010118
958059 0 210 1 0 0 0
982639 0 210 0 0 296322904 2362740997
982641 0 212 1 0 0 0
987059 0 212 0 0 296323345 1320591556
987061 0 214 1 0 0 0
988613 0 214 0 0 296323363 1449204904
988615 0 216 1 0 0 0
1031713 0 216 0 0 296503123 176591049
1031715 0 218 1 0 0 0
1035089 0 218 0 0 296503339 349376807
1035091 0 220 1 0 0 0
1047239 0 220 0 0 296534603 148121767
1047241 0 222 1 0 0 0
1065837 0 222 0 0 296536169 410069161
1065839 0 224 1 0 0 0
1066259 0 224 0 0 296536169 1478731913
1066261 0 226 1 0 0 0
1075963 0 226 0 0 296537160 2329159815
1075965 0 228 1 0 0 0
1076597 0 228 0 0 296537163 1210324202
1076599 0 230 1 0 0 0
1088353 0 230 0 0 296543315 73675945
1088355 0 232 1 0 0 0
1092493 0 232 0 0 296544800 2558735653
1092495 0 234 1 0 0 0
1092935 0 234 0 0 296544802 1255217420
1092937 0 236 1 0 0 0
1104269 0 236 0 0 296545314 1255221510
1104271 0 238 1 0 0 0
1114719 0 238 0 0 296551442 2590385381
1114721 0 240 1 0 0 0
1117127 0 240 0 0 296551499 170079559
1117129 0 242 1 0 0 0
1119265 0 242 0 0 296551522 1244043591
1119267 0 244 1 0 0 0
1119975 0 244 0 0 296551522 2222109990
1119977 0 246 1 0 0 0
1126367 0 246 0 0 296553003 1145445670
1126369 0 248 1 0 0 0
1134769 0 248 0 0 296553505 2485556457
1134771 0 250 1 0 0 0
1138053 0 250 0 0 296553514 1145478470
1138055 0 252 1 0 0 0
1149125 0 252 0 0 296559697 1153676550
1149127 0 254 1 0 0 0
1149407 0 254 0 0 296559699 1147542696
1149409 0 256 1 0 0 0
1151021 0 256 0 0 296559714 2222109958
1151023 0 258 1 0 0 0
1155861 0 258 0 0 296560401 411473222
1155863 0 260 1 0 0 0
1159027 0 260 0 0 296560427 1153638724
1159029 0 262 1 0 0 0
1159437 0 262 0 0 296560427 1153702026
1159439 0 264 1 0 0 0
1161673 0 264 0 0 296560481 80914694
1161675 0 266 1 0 0 0
1163331 0 266 0 0 296560488 2558726469
1163333 0 268 1 0 0 0
1228337 0 268 0 0 296798555 1210324202
1228339 0 270 1 0 0 0
1232431 0 270 0 0 296799018 2295597351
1232433 0 272 1 0 0 0
1254217 0 272 0 0 296806747 1145249797
1254219 0 272 1 0 0 0
1254451 0 272 0 0 296806747 1145250117
1254453 0 274 1 0 0 0
1259065 0 274 0 0 296807185 2496799912
1259067 0 276 1 0 0 0
1303929 0 276 0 0 296821841 1445180616
1303931 0 278 1 0 0 0
1338769 0 278 0 0 296830737 2530481444
1338771 0 280 1 0 0 0
1339045 0 280 0 0 296830738 3397821574
1339047 0 282 1 0 0 0
1350985 0 282 0 0 296831065 80946405
1350987 0 284 1 0 0 0
1376049 0 284 0 0 297060441 1478633705
1376051 0 286 1 0 0 0
1380815 0 286 0 0 297060705 377653575
1380817 0 288 1 0 0 0
1381535 0 288 0 0 297060705 1447274754
1381537 0 290 1 0 0 0
1381955 0 290 0 0 297060706 2283970919
1381957 0 292 1 0 0 0
1397387 0 292 0 0 297068889 1145448710
1397389 0 294 1 0 0 0
1399433 0 294 0 0 297068897 2226299204
1399435 0 296 1 0 0 0
1424075 0 296 0 0 297077832 2326928710
1424077 0 298 1 0 0 0
1455995 0 298 0 0 297092898 3401881858
1455997 0 300 1 0 0 0
1463927 0 300 0 0 297093162 3295028452
1463929 0 302 1 0 0 0
1480083 0 302 0 0 297101090 2555676872
1480085 0 304 1 0 0 0
1485423 0 304 0 0 297101347 340859175
1485425 0 306 1 0 0 0
1489653 0 306 0 0 297101601 2495684775
1489655 0 308 1 0 0 0
1492849 0 308 0 0 297101665 1145284870
1492851 0 310 1 0 0 0
1512605 0 310 0 0 302573915 1244868936
1512607 0 312 1 0 0 0
1549995 0 312 0 0 302588755 1448325320
1549997 0 314 1 0 0 0
1575221 0 314 0 0 302598233 1188245799
1575223 0 316 1 0 0 0
1592463 0 316 0 0 302605907 1254362345
1592465 0 318 1 0 0 0
1599421 0 318 0 0 302606433 1389563114
1599423 0 320 1 0 0 0
1601059 0 320 0 0 302606651 1187193157
1601061 0 322 1 0 0 0
1611323 0 322 0 0 302614090 3662782791
1611325 0 324 1 0 0 0
1621291 0 324 0 0 302614874 171351366
1621293 0 326 1 0 0 0
1624935 0 326 0 0 302615098 3426132137
1624937 0 328 1 0 0 0
1667303 0 328 0 0 303629147 1151507756
1667305 0 330 1 0 0 0
1673693 0 330 0 0 303631379 1319212331
1673695 0 332 1 0 0 0
1674619 0 332 0 0 303631403 1151442219
1674621 0 334 1 0 0 0
1677251 0 334 0 0 303631704 3391402311
1677253 0 336 1 0 0 0
1693337 0 336 0 0 303639402 406038597
1693339 0 338 1 0 0 0
1695317 0 338 0 0 303639571 1312137541
1695319 0 340 1 0 0 0
1699087 0 340 0 0 303639635 1312137285
1699089 0 342 1 0 0 0
1700397 0 342 0 0 303639825 1485147370
1700399 0 344 1 0 0 0
1700669 0 344 0 0 303639825 1487113576
1700671 0 346 1 0 0 0
1715685 0 346 0 0 303645546 404985193
1715687 0 348 1 0 0 0
1720845 0 348 0 0 303647786 80846123
1720847 0 350 1 0 0 0
1721551 0 350 0 0 303647786 3295781289
1721553 0 352 1 0 0 0
1721793 0 352 0 0 303647786 3664846953
1721795 0 354 1 0 0 0
1730871 0 354 0 0 303648056 3632338219
1730873 0 356 1 0 0 0
1731723 0 356 0 0 303648059 109122859
1731725 0 358 1 0 0 0
1739767 0 358 0 0 303653457 1518448873
1739769 0 360 1 0 0 0
1745909 0 360 0 0 303653715 1249980649
1745911 0 362 1 0 0 0
1753323 0 362 0 0 303655264 3665892586
1753325 0 364 1 0 0 0
1755283 0 364 0 0 303655265 1520666883
1755285 0 366 1 0 0 0
1758733 0 366 0 0 303656248 3626276168
