=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.11.02 18:38:43 =~=~=~=~=~=~=~=~=~=~=~=
13-queens problem:
Solutions: 44400.  
Solutions: 44640.  
Solutions: 44850.  
Solutions: 45102.  
Solutions: 45350.  
Solutions: 45644.  
Solutions: 45974.  
Solutions: 46396.  
Solutions: 46716.  
Solutions: 46948.  
Solutions: 47194.  
Solutions: 47308.  
Solutions: 47474.  
Solutions: 47646.  
Solutions: 47918.  
Solutions: 48234.  
Solutions: 48454.  
Solutions: 48554.  
Solutions: 48620.  
Solutions: 48764.  
Solutions: 48934.  
Solutions: 49138.  
Solutions: 49404.  
Solutions: 49640.  
Solutions: 49814.  
Solutions: 49896.  
Solutions: 49988.  
Solutions: 50244.  
Solutions: 50476.  
Solutions: 50678.  
Solutions: 50820.  
Solutions: 50916.  
Solutions: 51064.  
Solutions: 51262.  
Solutions: 51480.  
Solutions: 51666.  
Solutions: 51792.  
Solutions: 51884.  
Solutions: 52022.  
Solutions: 52280.  
Solutions: 52484.  
Solutions: 52708.  
Solutions: 52888.  
Solutions: 53018.  
Solutions: 53164.  
Solutions: 53248.  
Solutions: 53502.  
Solutions: 53744.  
Solutions: 53950.  
Solutions: 54164.  
Solutions: 54338.  
Solutions: 54510.  
Solutions: 54668.  
Solutions: 54772.  
Solutions: 55074.  
Solutions: 55436.  
Solutions: 55682.  
Solutions: 55918.  
Solutions: 56202.  
Solutions: 56444.  
Solutions: 56688.  
Solutions: 57060.  
Solutions: 57420.  
Solutions: 57654.  
Solutions: 57960.  
Solutions: 58240.  
Solutions: 58454.  
Solutions: 58762.  
Solutions: 59122.  
Solutions: 59456.  
Solutions: 59630.  
Solutions: 59834.  
Solutions: 60074.  
Solutions: 60318.  
Solutions: 60604.  
Solutions: 60940.  
Solutions: 61344.  
Solutions: 61530.  
Solutions: 61752.  
Solutions: 62004.  
Solutions: 62212.  
Solutions: 62374.  
Solutions: 62634.  
Solutions: 62886.  
Solutions: 63194.  
Solutions: 63382.  
Solutions: 63514.  
Solutions: 63624.  
Solutions: 63724.  
Solutions: 63954.  
Solutions: 64166.  
Solutions: 64370.  
Solutions: 64536.  
Solutions: 64684.  
Solutions: 64760.  
Solutions: 64854.  
Solutions: 65054.  
Solutions: 65246.  
Solutions: 65406.  
Solutions: 65552.  
Solutions: 65644.  
Solutions: 65706.  
Solutions: 65778.  
Solutions: 65876.  
Solutions: 65990.  
Solutions: 66072.  
Solutions: 66131.  
Solutions: 66170.  
Solutions: 66269.  
Solutions: 66389.  
Solutions: 66492.  
Solutions: 66611.  
Solutions: 66726.  
Solutions: 66814.  
Solutions: 66898.  
Solutions: 66965.  
Solutions: 67083.  
Solutions: 67230.  
Solutions: 67341.  
Solutions: 67485.  
Solutions: 67569.  
Solutions: 67660.  
Solutions: 67753.  
Solutions: 67841.  
Solutions: 67983.  
Solutions: 68190.  
Solutions: 68349.  
Solutions: 68502.  
Solutions: 68627.  
Solutions: 68755.  
Solutions: 68865.  
Solutions: 68966.  
Solutions: 69176.  
Solutions: 69348.  
Solutions: 69471.  
Solutions: 69587.  
Solutions: 69759.  
Solutions: 69884.  
Solutions: 70001.  
Solutions: 70154.  
Solutions: 70363.  
Solutions: 70492.  
Solutions: 70588.  
Solutions: 70719.  
Solutions: 70848.  
Solutions: 70997.  
Solutions: 71155.  
Solutions: 71347.  
Solutions: 71509.  
Solutions: 71589.  
Solutions: 71701.  
Solutions: 71794.  
Solutions: 71886.  
Solutions: 72017.  
Solutions: 72123.  
Solutions: 72275.  
Solutions: 72405.  
Solutions: 72465.  
Solutions: 72554.  
Solutions: 72643.  
Solutions: 72742.  
Solutions: 72849.  
Solutions: 72949.  
Solutions: 73080.  
Solutions: 73175.  
Solutions: 73242.  
Solutions: 73298.  
Solutions: 73377.  
Solutions: 73469.  
Solutions: 73585.  
Solutions: 73659.  
Solutions: 73724.  
Solutions: 73727.  
Processing time: 0.818957 seconds. 
13-queens problem:
Solutions: 0.  
Solutions: 0.  
Solutions: 0.  
Solutions: 10.  
Solutions: 58.  
Solutions: 132.  
Solutions: 202.  
Solutions: 268.  
Solutions: 310.  
Solutions: 382.  
Solutions: 442.  
Solutions: 556.  
Solutions: 648.  
Solutions: 740.  
Solutions: 782.  
Solutions: 846.  
Solutions: 968.  
Solutions: 1106.  
Solutions: 1208.  
Solutions: 1296.  
Solutions: 1390.  
Solutions: 1554.  
Solutions: 1742.  
Solutions: 1908.  
